file,inputTokens,outputTokens,totalTokens,time
/Users/caio/Downloads/doc4me/src/ai/ai.ts,636,944,1580,2023-11-09T12:40:28.678Z
/Users/caio/Downloads/doc4me/src/ai/explainer.ts,415,806,1221,2023-11-09T12:40:51.792Z
/Users/caio/Downloads/doc4me/src/ai/summarizer.ts,516,464,980,2023-11-09T12:41:05.134Z
/Users/caio/Downloads/doc4me/src/billCalculator.ts,597,839,1436,2023-11-09T12:41:27.645Z
/Users/caio/Downloads/doc4me/src/commands.ts,564,625,1189,2023-11-09T12:41:44.640Z
/Users/caio/Downloads/doc4me/src/extension.ts,292,298,590,2023-11-09T12:41:54.239Z
/Users/caio/Downloads/doc4me/src/myConfig.ts,1442,784,2226,2023-11-09T12:42:16.528Z
/Users/caio/Downloads/doc4me/src/utils.ts,646,997,1643,2023-11-09T12:42:44.281Z
/Users/caio/Downloads/doc4me/webpack.config.js,406,515,921,2023-11-09T12:42:58.116Z
/Users/caio/Downloads/doc4me/docs/src/ai/ai.md,964,169,1133,2023-11-09T12:43:03.494Z
/Users/caio/Downloads/doc4me/docs/src/ai/explainer.md,826,137,963,2023-11-09T12:43:07.904Z
/Users/caio/Downloads/doc4me/docs/src/ai/summarizer.md,484,166,650,2023-11-09T12:43:13.061Z
/Users/caio/Downloads/doc4me/docs/src/billCalculator.md,859,153,1012,2023-11-09T12:43:17.890Z
/Users/caio/Downloads/doc4me/docs/src/commands.md,645,104,749,2023-11-09T12:43:21.611Z
/Users/caio/Downloads/doc4me/docs/src/extension.md,318,162,480,2023-11-09T12:43:27.294Z
/Users/caio/Downloads/doc4me/docs/src/myConfig.md,804,113,917,2023-11-09T12:43:31.058Z
/Users/caio/Downloads/doc4me/docs/src/utils.md,1017,118,1135,2023-11-09T12:43:34.902Z
/Users/caio/Downloads/doc4me/docs/webpack.config.md,535,77,612,2023-11-09T12:43:37.349Z
projectSummary.md,1358,129,1487,2023-11-09T12:43:41.462Z
